user_id,date_time,wav_file,signal_to_noise_ratio,loudness,peak_start_sec,timestamp_ms,cough_prediction_score,is_cough
a9kTCQH0alPQMTqgSczkYmkkNzg2,2021-02-21 20:22:35.496036,user/sewanee 2576@hyfe.ai/sample-1613938953338.wav,37.5989480567231,76.4653315218044,0.94,1613938954278,0.999991297721863,True
H1du0OGn2VgbzdFQLY5qiDnaLzF2,2021-02-21 20:37:22.709610,user/sewanee 2308@hyfe.ai/sample-1613939840884.wav,30.1042443416247,75.7947802011377,1.74,1613939842624,0.99974125623703,True
a9kTCQH0alPQMTqgSczkYmkkNzg2,2021-02-21 20:42:43.366431,user/sewanee 2576@hyfe.ai/sample-1613940161529.wav,37.7245075543303,76.9046185781526,0.58,1613940162109,0.993820130825043,True
a9kTCQH0alPQMTqgSczkYmkkNzg2,2021-02-21 21:06:31.179010,user/sewanee 2576@hyfe.ai/sample-1613941590134.wav,37.5153739362389,76.6524742233866,0.42,1613941590554,0.999786794185638,True
fTQb2LxiYpSNM6PfklljfoyRTXb2,2021-02-21 21:14:25.578970,user/sewanee 1650@hyfe.ai/sample-1613942064257.wav,41.4875408246416,75.823563105421,1.22,1613942065477,0.988048851490021,True
BS7i67xVOCcZWcR7Vupz28MmwrS2,2021-02-22 11:48:04.468046,user/sewanee 0469@hyfe.ai/sample-1613942221966.wav,55.0104106660993,75.6261138888674,0.66,1613942222626,0.985081791877747,True
q0KZ1VBOCHf3Pdd2oGdb32EL9mJ3,2021-02-21 21:20:51.906633,user/sewanee 0978@hyfe.ai/sample-1613942450353.wav,32.4934378476131,74.6238697566465,0.62,1613942450973,0.999932765960693,True
VNoL6S0awAbwZkwbgdL5h7SemRz2,2021-02-21 21:24:23.723590,user/sewanee 2336@hyfe.ai/sample-1613942662703.wav,34.4653186182746,72.546900152802,2.38,1613942665083,0.99996542930603,True
a9kTCQH0alPQMTqgSczkYmkkNzg2,2021-02-21 21:26:51.761532,user/sewanee 2576@hyfe.ai/sample-1613942810647.wav,36.8822891553226,75.4955772526857,0.86,1613942811507,0.998863220214844,True
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:16:06.850869,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1613999761995.wav,16.5698890902182,63.5279559851223,1.74,1613999763735,0.00224335165694356,False
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:16:07.232362,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1613999761995.wav,30.6006416980849,67.0539513968096,3.94,1613999765935,0.000259659311268479,False
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:16:07.538710,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1613999761995.wav,39.0676016053284,63.6892771695816,6.1,1613999768095,0.000543102796655148,False
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:16:07.806790,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1613999761995.wav,37.7757217859297,63.9289440685899,7.06,1613999769055,0.000117271956696641,False
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:16:41.902194,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1613999796696.wav,49.0040266309065,70.5236607780958,0.38,1613999797076,0.000692531117238104,False
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:16:42.294164,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1613999796696.wav,32.4591882743154,63.3356585798213,0.86,1613999797556,6.21118897470296e-06,False
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:16:42.563201,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1613999796696.wav,34.4924510249971,64.801141012467,3.86,1613999800556,8.01216156105511e-05,False
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:16:42.827879,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1613999796696.wav,20.1971959420871,73.167246909746,6.7,1613999803396,0.000245955743594095,False
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:23:18.600899,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1614000193602.wav,16.8894995004907,56.6154965786173,1.34,1614000194942,0.0186870079487562,False
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:25:55.344991,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1614000349226.wav,44.4898730462976,79.2398961846551,0.66,1614000349886,0.546845853328705,True
nDa17BXaNsd7BVsgdHkspSf973i2,2021-02-22 13:25:55.586834,user/nDa17BXaNsd7BVsgdHkspSf973i2/sample-1614000349226.wav,41.4746910997016,77.5198430585902,1.7,1614000350926,0.936567783355713,True
