path,is_cough
flusense_data/nIBRNVTxo8w_0_000-10_000segment1.wav,0
flusense_data/nIBRNVTxo8w_0_000-10_000segment2.wav,1
flusense_data/3Liy9uBgsQMsegment1.wav,0
flusense_data/3Liy9uBgsQMsegment2.wav,1
flusense_data/3Liy9uBgsQMsegment3.wav,0
flusense_data/3Liy9uBgsQMsegment4.wav,1
flusense_data/3Liy9uBgsQMsegment5.wav,0
flusense_data/3Liy9uBgsQMsegment6.wav,1
flusense_data/3Liy9uBgsQMsegment7.wav,0
flusense_data/3Liy9uBgsQMsegment8.wav,1
flusense_data/3Liy9uBgsQMsegment9.wav,0
flusense_data/3Liy9uBgsQMsegment10.wav,1
flusense_data/3Liy9uBgsQMsegment11.wav,0
flusense_data/3Liy9uBgsQMsegment12.wav,1
flusense_data/3Liy9uBgsQMsegment13.wav,0
flusense_data/3Liy9uBgsQMsegment14.wav,1
flusense_data/3Liy9uBgsQMsegment15.wav,0
flusense_data/3Liy9uBgsQMsegment16.wav,1
flusense_data/3Liy9uBgsQMsegment17.wav,0
flusense_data/3Liy9uBgsQMsegment18.wav,1
flusense_data/3Liy9uBgsQMsegment19.wav,0
flusense_data/3Liy9uBgsQMsegment20.wav,1
flusense_data/3Liy9uBgsQMsegment21.wav,0
flusense_data/3Liy9uBgsQMsegment22.wav,1
flusense_data/3Liy9uBgsQMsegment23.wav,0
flusense_data/3Liy9uBgsQMsegment24.wav,1
flusense_data/3Liy9uBgsQMsegment25.wav,0
flusense_data/3Liy9uBgsQMsegment26.wav,1
flusense_data/3Liy9uBgsQMsegment27.wav,0
flusense_data/3Liy9uBgsQMsegment28.wav,1
flusense_data/3Liy9uBgsQMsegment29.wav,0
flusense_data/3Liy9uBgsQMsegment30.wav,1
flusense_data/3Liy9uBgsQMsegment31.wav,0
flusense_data/3Liy9uBgsQMsegment32.wav,1
flusense_data/3Liy9uBgsQMsegment33.wav,0
flusense_data/3Liy9uBgsQMsegment34.wav,1
flusense_data/3Liy9uBgsQMsegment35.wav,0
flusense_data/3Liy9uBgsQMsegment36.wav,1
flusense_data/3Liy9uBgsQMsegment37.wav,0
flusense_data/3Liy9uBgsQMsegment38.wav,1
flusense_data/3Liy9uBgsQMsegment39.wav,0
flusense_data/3Liy9uBgsQMsegment40.wav,1
flusense_data/3Liy9uBgsQMsegment41.wav,0
flusense_data/3Liy9uBgsQMsegment42.wav,1
flusense_data/3Liy9uBgsQMsegment43.wav,0
flusense_data/3Liy9uBgsQMsegment44.wav,1
flusense_data/3Liy9uBgsQMsegment45.wav,0
flusense_data/3Liy9uBgsQMsegment46.wav,1
flusense_data/3Liy9uBgsQMsegment47.wav,0
flusense_data/3Liy9uBgsQMsegment48.wav,1
flusense_data/3Liy9uBgsQMsegment49.wav,0
flusense_data/3Liy9uBgsQMsegment50.wav,1
flusense_data/3Liy9uBgsQMsegment51.wav,0
flusense_data/3Liy9uBgsQMsegment52.wav,1
flusense_data/3Liy9uBgsQMsegment53.wav,0
flusense_data/3Liy9uBgsQMsegment54.wav,1
flusense_data/3Liy9uBgsQMsegment55.wav,0
flusense_data/3Liy9uBgsQMsegment56.wav,1
flusense_data/3Liy9uBgsQMsegment57.wav,0
flusense_data/3Liy9uBgsQMsegment58.wav,1
flusense_data/3Liy9uBgsQMsegment59.wav,0
flusense_data/3Liy9uBgsQMsegment60.wav,1
