id,wav_list,path,is_cough
Z3HPqXWn4NU_210_000-220_000,flusense_data_og/Z3HPqXWn4NU_210_000-220_000.wav,flusense_data/Z3HPqXWn4NU_210_000-220_000segment1.wav,0.0
Z3HPqXWn4NU_210_000-220_000,flusense_data_og/Z3HPqXWn4NU_210_000-220_000.wav,flusense_data/Z3HPqXWn4NU_210_000-220_000segment2.wav,1.0
G0fUcGxDHds_280_000-290_000,flusense_data_og/G0fUcGxDHds_280_000-290_000.wav,flusense_data/G0fUcGxDHds_280_000-290_000segment1.wav,0.0
G0fUcGxDHds_280_000-290_000,flusense_data_og/G0fUcGxDHds_280_000-290_000.wav,flusense_data/G0fUcGxDHds_280_000-290_000segment2.wav,0.0
G0fUcGxDHds_280_000-290_000,flusense_data_og/G0fUcGxDHds_280_000-290_000.wav,flusense_data/G0fUcGxDHds_280_000-290_000segment3.wav,0.0
G0fUcGxDHds_280_000-290_000,flusense_data_og/G0fUcGxDHds_280_000-290_000.wav,flusense_data/G0fUcGxDHds_280_000-290_000segment4.wav,0.0
G0fUcGxDHds_280_000-290_000,flusense_data_og/G0fUcGxDHds_280_000-290_000.wav,flusense_data/G0fUcGxDHds_280_000-290_000segment5.wav,0.0
G0fUcGxDHds_280_000-290_000,flusense_data_og/G0fUcGxDHds_280_000-290_000.wav,flusense_data/G0fUcGxDHds_280_000-290_000segment6.wav,0.0
G0fUcGxDHds_280_000-290_000,flusense_data_og/G0fUcGxDHds_280_000-290_000.wav,flusense_data/G0fUcGxDHds_280_000-290_000segment7.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment1.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment2.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment3.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment4.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment5.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment6.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment7.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment8.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment9.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment10.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment11.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment12.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment13.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment14.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment15.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment16.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment17.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment18.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment19.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment20.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment21.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment22.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment23.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment24.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment25.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment26.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment27.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment28.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment29.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment30.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment31.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment32.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment33.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment34.wav,1.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment35.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment36.wav,0.0
7PbmVAZrObA,flusense_data_og/7PbmVAZrObA.wav,flusense_data/7PbmVAZrObAsegment37.wav,0.0
